t_s,vx_filt,a,a_raw
0.00997900899999993,-6.11764352531438e-11,-2.70976999424036e-09,0
0.0199931249999999,-8.8312386308786e-11,-2.82983956274232e-09,0
0.029981544,-1.17780400151282e-10,-2.86653271219608e-09,0
0.039987805,-1.45627790598679e-10,-2.37934093230571e-09,0
0.05000706,-1.65427930060625e-10,-1.10618969272035e-09,0
0.0599947199999999,-1.67759233754811e-10,1.28046462370254e-09,0
0.069954439,-1.39886016915538e-10,5.09477911555067e-09,0
0.0799986029999999,-6.58438684164918e-11,1.06206911105105e-08,0
0.0899802559999999,7.28019996770716e-11,1.80569389314718e-08,0
0.099993114,2.9519579567515e-10,2.72924669188756e-08,0
0.109958454,6.18056307690822e-10,3.77929869646895e-08,0
0.119986258,1.05079642625031e-09,4.85335296870084e-08,0
0.129955737,1.58859503583083e-09,5.76066988157657e-08,0
0.139992595,2.20329545621602e-09,6.21944084222544e-08,0
0.149953252,2.83232865117099e-09,5.81474688383378e-08,0
0.159994814,3.36637386221613e-09,4.02236812114118e-08,0
0.169963401,3.63721050553984e-09,2.090643590202e-09,0
0.180002095,3.40820195599615e-09,-6.32639295820478e-08,0
0.189977029,2.37106975306654e-09,-1.62721706923126e-07,0
0.200000685,1.53997255140396e-10,-3.01211745988322e-07,0
0.20997483,-3.65250280207048e-09,-4.80204000012449e-07,0
0.219988781,-9.44436639669243e-09,-6.92799244933968e-07,0
0.229990412,-1.75192828985844e-08,-9.25538062174136e-07,0
0.239984373,-2.79510478683971e-08,-1.14499808339174e-06,0
0.249989322,-4.04179965185084e-08,-1.30040508085652e-06,0
0.260004845,-5.39857713783427e-08,-1.32185545576549e-06,0
0.269988126,-6.6853524694693e-08,-1.1043743852629e-06,0
0.280016383,-7.60860013552579e-08,-5.26811485440322e-07,0
0.289955229,-7.73724238860629e-08,5.60716290376268e-07,0
0.300007225,-6.48768105875198e-08,2.30531538137411e-06,0
0.309952467,-3.12724835396639e-08,4.83376614781798e-06,0
0.320031565,3.19161662368779e-08,8.2373678951647e-06,0
